TT	PID	CT	DL	IO_D		WT	RT	TRT
1434	379	65	1423	0		0	0	65
1434	544	27	1423	0		27	0	27
1460	512	246	500	0		888	887	1134
1494	329	299	1384	0		0	0	299
1496	27	132	124	21		1254	722	1386
1496	522	69	713	0		716	715	785
1507	72	236	300	29		1000	188	1236
1523	528	183	910	0		456	464	639
1525	32	160	255	7		1235	1302	1395
1532	388	127	1416	0		7	7	134
1532	545	120	1416	0		120	0	120
1607	54	139	249	15		1255	1392	1394
1625	535	171	1276	0		334	405	505
1626	193	23	731	19		889	911	912
1638	57	210	308	0		1202	1281	1412
1650	90	98	351	6		1217	1303	1315
1653	101	97	427	19		1181	1268	1278
1664	521	83	701	0		877	876	960
1678	103	16	397	11		1280	1288	1296
1678	249	77	972	17		695	752	772
1681	465	28	1656	0		11	11	39
1681	42	162	219	22		1355	645	1517
1687	235	17	876	0		804	815	821
1690	159	147	642	10		941	1079	1088
1709	17	284	80	6		1360	1613	1644
1719	360	196	1432	0		222	222	418
1721	107	168	423	0		1164	1051	1332
1722	150	63	600	7		1085	1147	1148
1736	59	110	293	22		1399	1479	1509
1751	176	71	676	11		1018	1047	1089
1752	179	156	683	14		922	1077	1078
1785	552	74	1714	0		18	18	92
1785	554	71	1714	0		71	0	71
1825	203	39	795	18		1028	1035	1067
1828	58	246	443	0		1355	1574	1601
1834	549	280	1559	0		1	1	281
1834	550	273	1559	0		273	0	273
1847	62	176	364	16		1430	1493	1606
1865	467	85	1714	0		137	137	222
1957	466	92	1731	0		222	222	314
1973	94	221	546	7		1401	1550	1622
2026	557	226	1974	0		1	1	227
2026	558	211	1974	0		1	0	211
2026	559	195	1974	0		195	0	195
2100	70	57	281	13		1776	1827	1833
2152	157	265	601	16		1295	1315	1560
2153	214	28	815	13		1335	1362	1363
2248	197	183	741	12		1336	1458	1519
2282	487	210	1744	0		352	404	562
2328	129	134	606	5		1713	1772	1847
2333	234	117	941	18		1351	1463	1468
2419	504	240	101	0		2103	2270	2343
2432	33	172	267	22		2124	2210	2296
2449	64	119	290	30		2082	2184	2201
2484	118	96	490	0		1955	1986	2051
2524	135	25	526	12		1990	2011	2015
2532	192	142	813	9		1679	1814	1821
2533	123	88	512	6		1988	2075	2076
2538	304	26	1109	8		1425	1446	1451
2549	303	53	1101	20		1409	1451	1462
2569	177	86	701	14		1816	1895	1902
2570	178	48	714	0		1855	1902	1903
2581	60	274	327	9		2074	2340	2348
2621	264	81	1034	12		1568	1627	1649
2671	420	138	1585	0		1023	1039	1161
2694	134	46	542	0		2145	2184	2191
2729	297	81	1103	0		1581	1580	1662
2755	332	121	1309	0		1424	1423	1545
2759	164	33	629	13		2103	2129	2136
2761	274	91	1021	12		1669	1729	1760
2762	43	134	286	15		2464	2597	2598
2764	156	117	684	6		2056	2171	2173
2769	229	191	910	19		1736	1922	1927
2778	69	53	309	19		2459	2378	2512
2795	520	143	777	0		1967	2092	2110
2796	81	159	327	27		2338	2478	2497
2841	551	170	1739	0		1074	1074	1244
2845	19	233	236	17		2537	850	2770
2849	212	141	813	11		1925	2058	2066
2870	342	78	1274	12		1539	1596	1617
2871	238	96	898	20		1908	2003	2004
2880	370	30	1356	0		1513	1537	1543
2941	108	225	533	0		2325	2386	2550
2958	204	137	870	18		2058	2187	2195
2964	347	102	1312	0		1600	1623	1702
2997	216	90	829	16		2112	2197	2202
3034	346	31	1281	5		1746	1757	1777
3038	430	116	1591	0		1372	1387	1488
3070	119	141	573	5		2489	2559	2630
3089	168	25	649	33		2430	2445	2455
3100	223	23	828	27		2262	2284	2285
3102	93	145	425	22		2613	2757	2758
3111	1	241	65	48		2867	3099	3108
3116	415	267	1626	5		1349	1555	1616
3120	262	65	995	5		2092	2148	2157
3126	548	77	1553	0		1514	1537	1591
3130	185	101	756	19		2341	2432	2442
3142	13	246	101	12		2843	3077	3089
3151	534	269	1222	0		1785	1855	2054
3155	278	277	1044	0		1868	1899	2145
3163	110	104	411	9		2659	2742	2763
3233	31	237	129	13		2872	3004	3109
3238	256	54	970	7		2251	2263	2305
3242	368	130	1386	0		1782	1821	1912
3252	284	26	1046	14		2195	2211	2221
3260	36	268	246	13		2851	3118	3119
3364	74	28	299	34		3053	1407	3081
3398	199	74	768	11		2585	2622	2659
3411	382	48	1404	0		1983	2029	2031
3413	146	175	649	18		2677	2800	2852
3414	114	71	428	16		2926	2994	2997
3418	221	108	828	11		2503	2604	2611
3432	131	184	573	27		2757	2881	2941
3448	529	72	972	0		2432	2472	2504
3475	429	268	1716	0		1661	1910	1929
3479	452	145	1637	0		1730	1754	1875
3480	154	155	614	9		2745	2868	2900
3481	261	77	1031	22		2448	2517	2525
3487	189	92	723	16		2690	2776	2782
3504	105	148	397	25		2971	3112	3119
3513	279	223	1148	13		2279	2469	2502
3530	188	86	728	26		2742	1144	2828
3547	541	283	1516	0		1971	1987	2254
3557	500	232	1974	14		1572	1661	1804
3558	117	170	518	5		2959	3089	3129
3560	230	38	863	0		2673	2708	2711
3564	440	189	1739	19		1797	1982	1986
3568	286	22	1045	14		2514	2532	2536
3573	215	95	824	17		2688	2778	2783
3605	66	99	314	12		3247	3342	3346
3606	253	68	947	13		2614	2649	2682
3609	222	25	821	12		2773	2795	2798
3611	455	40	1657	18		1954	1988	1994
3615	115	128	465	14		3065	3146	3193
3622	539	240	1384	0		2128	2159	2368
3637	513	191	580	0		2961	3134	3152
3666	553	31	1729	0		1922	1932	1953
3669	325	87	1259	14		2409	2495	2496
3674	245	184	930	5		2594	2773	2778
3706	341	294	1516	11		2163	2379	2457
3708	290	14	1053	5		2646	2659	2660
3711	160	226	611	27		2879	3102	3105
3726	532	135	1088	0		2565	2573	2700
3741	453	85	1618	17		2046	2096	2131
3763	299	268	1096	0		2421	2444	2689
3805	355	187	1443	5		2327	2489	2514
3859	126	217	579	32		3177	1508	3394
3880	100	80	422	33		3432	3508	3512
3881	543	108	1353	0		2429	2461	2537
3889	308	117	1183	10		2666	2774	2783
3950	359	279	1468	0		2371	2411	2650
3953	88	208	403	15		3420	3625	3628
3989	546	287	1486	0		2264	2527	2551
4007	397	286	1587	0		2291	2559	2577
4011	456	146	1725	0		2244	2260	2390
4022	324	98	1269	26		2753	2849	2851
4039	121	191	498	7		3399	3508	3590
4039	555	242	1797	0		2069	2289	2311
4098	241	64	943	12		3147	3210	3211
4101	285	50	1049	13		3020	3067	3070
4105	296	131	1078	25		2909	3036	3040
4121	96	40	387	35		3722	3754	3762
4123	315	78	1190	20		2908	2978	2986
4125	556	172	1823	0		2173	2176	2345
4128	246	80	979	0		3149	3226	3229
4182	336	163	1345	33		2790	2915	2953
4183	207	263	991	6		3152	3414	3415
4190	29	263	291	17		3809	4067	4072
4195	369	119	1353	27		2743	2854	2862
4240	50	244	314	20		3797	4012	4041
4264	125	205	580	9		3595	3793	3800
4334	220	133	815	23		3396	3492	3529
4349	443	27	1602	9		2737	2751	2764
4353	323	196	1186	18		2991	3179	3187
4367	313	224	1194	12		3018	3126	3242
4394	83	86	349	9		4007	4067	4093
4395	295	80	1095	0		3250	3329	3330
4402	300	169	1170	12		3159	3159	3328
4406	474	59	1689	17		2666	2721	2725
4449	350	175	1383	17		2997	3076	3172
4450	86	43	335	24		4094	4136	4137
4498	337	140	1271	0		3126	3174	3266
4522	35	275	391	51		4111	4363	4386
4525	524	99	748	0		3663	3759	3762
4534	250	95	946	5		3526	3618	3621
4594	459	275	1704	11		2694	2840	2969
4621	99	196	519	14		4059	4172	4255
4624	184	106	759	13		3831	3934	3937
4649	138	236	549	18		3887	4095	4123
4651	38	260	403	32		4248	4414	4508
4668	53	265	309	33		4192	4410	4457
4671	527	114	924	0		3681	3697	3795
4704	247	182	1014	22		3620	3757	3802
4712	460	76	1639	7		3011	3083	3087
4714	281	132	1066	20		3563	3602	3695
4725	77	244	313	6		4194	4334	4438
4735	95	277	389	13		4104	4240	4381
4765	181	139	708	36		3945	4077	4084
4777	471	262	1827	0		2853	3067	3115
4794	319	172	1177	8		3472	3499	3644
4806	271	70	1050	10		3739	3804	3809
4809	198	230	750	26		3846	4025	4076
4811	239	116	924	31		3821	3936	3937
4817	252	31	951	15		3866	3886	3897
4830	301	117	1195	10		3632	3747	3749
4849	374	28	1349	14		3477	3503	3505
4851	92	10	351	62		4497	4506	4507
4855	254	261	1142	9		3668	3788	3929
4863	187	81	713	29		4083	4128	4164
4916	226	148	950	11		3938	4037	4086
4918	475	72	1739	13		3163	3227	3235
4933	76	153	350	17		4494	4639	4647
4970	309	150	1162	17		3707	3803	3857
4998	406	164	1588	16		3372	3531	3536
5028	51	235	404	33		4590	4767	4825
5038	485	88	1781	14		3234	3314	3322
5038	273	90	1020	27		3951	4003	4041
5045	547	262	1626	0		3278	3318	3540
5075	294	117	1106	27		3898	4010	4015
5081	413	66	1518	19		3522	3570	3588
5105	218	136	823	10		4168	4300	4304
5115	277	50	1042	16		4055	4095	4105
5122	91	193	424	11		4587	4779	4780
5125	396	20	1443	23		3675	3693	3695
5132	206	230	982	7		4136	4338	4366
5144	480	182	1878	0		3261	3382	3443
5162	109	127	448	39		4638	4718	4765
5203	4	205	209	46		4983	5186	5188
5209	536	167	1276	0		3878	3957	4045
5250	213	171	796	18		4292	4396	4463
5264	448	88	1620	9		3581	3664	3669
5286	361	41	1331	34		3943	3978	3984
5327	173	109	757	12		4567	4675	4676
5334	113	126	453	24		4796	4914	4922
5352	314	204	1144	16		4016	4207	4220
5363	122	263	684	12		4644	4776	4907
5369	37	165	181	15		5063	5223	5228
5405	401	96	1467	6		3864	3956	3960
5409	395	95	1480	11		3890	3955	3985
5413	366	215	1501	17		3876	4004	4091
5415	423	42	1567	36		3848	3880	3890
5432	327	243	1360	11		4004	4156	4247
5440	422	147	1533	11		3775	3897	3922
5468	26	195	157	18		5166	5333	5361
5484	416	247	1595	6		3733	3843	3980
5485	170	39	664	26		4806	4844	4845
5489	402	272	1606	19		3765	3878	4037
5503	405	26	1466	20		4017	4036	4043
5534	268	211	1042	40		4341	4521	4552
5554	486	38	1751	30		3798	3826	3836
5570	44	151	317	8		5249	5369	5400
5603	236	220	1011	7		4516	4672	4736
5604	434	206	1591	20		3840	4045	4046
5615	73	287	404	42		5052	5263	5339
5629	408	15	1488	15		4141	4155	4156
5629	224	101	894	13		4707	4794	4808
5638	208	105	850	16		4762	4864	4867
5660	166	79	635	7		4954	5025	5033
5673	498	240	1975	12		3685	3856	3925
5693	106	299	669	19		5009	5286	5308
5706	409	231	1599	14		3998	4224	4229
5715	330	216	1347	15		4301	4508	4517
5726	364	77	1373	29		4340	4408	4417
5730	260	102	999	20		4675	4738	4777
5766	270	277	1192	9		4499	4752	4776
5779	343	145	1345	16		4381	4462	4526
5789	316	272	1153	12		4378	4499	4650
5821	352	238	1311	0		4301	4397	4539
5823	419	126	1528	9		4188	4257	4314
5824	385	15	1401	24		4417	4431	4432
5829	292	269	1222	17		4500	4657	4769
5838	30	221	276	14		5493	5593	5714
5844	399	142	1442	11		4267	4344	4409
5844	499	173	1823	29		3918	4085	4091
5926	112	123	428	10		5398	5445	5521
5929	367	21	1330	11		4584	4602	4605
5949	358	167	1387	28		4486	4643	4653
5955	302	238	1161	0		4632	4704	4870
5967	163	243	841	21		5105	5347	5348
5968	233	165	890	24		4945	5109	5110
5979	446	238	1729	19		4147	4227	4385
5987	472	52	1688	28		4266	4293	4318
5991	380	51	1396	17		4567	4614	4618
5993	404	34	1469	18		4499	4531	4533
5996	495	146	1784	20		4108	4253	4254
6002	276	123	1074	9		4873	4942	4996
6003	155	219	702	13		5197	5388	5416
6008	310	65	1162	21		4826	4884	4891
6021	289	91	1074	8		4887	4971	4978
6030	143	233	585	43		5253	5464	5486
6064	190	222	839	20		5135	5308	5357
6086	293	166	1083	10		4860	5005	5026
6088	242	85	939	25		5113	5190	5198
6099	356	150	1385	15		4656	4799	4806
6100	240	125	887	13		5095	5219	5220
6126	414	117	1553	16		4516	4608	4633
6128	306	187	1269	20		4849	4928	5036
6193	307	163	1197	19		4931	5090	5094
6197	371	112	1355	19		4747	4851	4859
6201	320	224	1205	13		4821	5044	5045
6204	373	138	1364	12		4724	4859	4862
6213	128	246	625	6		5492	5720	5738
6219	333	132	1282	5		4873	4950	5005
6232	328	154	1284	14		4889	5035	5043
6242	372	253	1577	16		4647	4894	4900
6243	362	104	1401	23		4835	4916	4939
6248	195	156	863	20		5370	5518	5526
6248	438	146	1660	9		4531	4553	4677
6249	433	81	1578	5		4612	4692	4693
6261	469	271	1705	18		4334	4600	4605
6292	266	54	1000	7		5259	5283	5313
6293	426	298	1559	19		4460	4757	4758
6300	421	225	1698	32		4561	4760	4786
6307	357	240	1347	16		4774	5008	5014
6349	470	27	1674	26		4661	4685	4688
6354	389	19	1405	20		4937	4951	4956
6364	137	259	622	10		5582	5743	5841
6416	488	196	1774	14		4500	4672	4696
6424	491	60	1765	6		4632	4687	4692
6425	431	131	1600	20		4738	4845	4869
6453	136	139	650	20		5798	5843	5937
6455	183	242	767	16		5528	5768	5770
6455	531	222	1148	0		5221	5413	5443
6460	387	291	1486	21		4771	5057	5062
6482	186	253	940	16		5535	5736	5788
6485	267	55	996	14		5451	5504	5506
6486	227	277	840	17		5375	5648	5652
6490	477	272	1872	18		4523	4790	4795
6491	158	224	766	34		5671	5874	5895
6495	283	135	1088	20		5334	5468	5469
6505	398	111	1462	34		4959	5027	5070
6514	473	160	1806	9		4679	4832	4839
6515	140	229	747	15		5753	5922	5982
6527	335	284	1424	19		5016	5295	5300
6555	344	96	1280	12		5205	5300	5301
6560	400	130	1557	20		4988	5116	5118
6588	243	109	920	20		5589	5696	5698
6622	298	142	1097	5		5411	5449	5553
6638	441	197	1769	19		4861	5057	5058
6645	454	226	1630	27		4809	5002	5035
6656	457	131	1661	29		4902	5026	5033
6705	392	152	1521	9		5139	5290	5291
6758	384	155	1422	24		5215	5343	5370
6766	492	29	1743	32		5001	5029	5030
6795	151	74	643	10		6145	6218	6219
6797	191	295	825	16		5791	6083	6086
6805	411	32	1507	23		5286	5313	5318
6852	340	25	1268	32		5578	5602	5603
6878	439	280	1798	24		5024	5297	5304
6926	180	151	777	28		6098	6246	6249
6965	225	272	1072	12		5868	6042	6140
6973	282	179	1141	16		5774	5870	5953
6998	322	163	1185	6		5674	5780	5837
7015	263	166	1063	25		5884	6044	6050
7040	175	250	891	20		6130	6301	6380
7060	321	91	1213	28		5812	5895	5903
7064	444	191	1726	8		5282	5472	5473
7082	124	274	578	20		6350	6621	6624
7102	427	59	1594	28		5503	5561	5562
7104	412	249	1735	8		5368	5428	5617
7129	468	149	1720	39		5330	5478	5479
7134	484	129	1724	18		5290	5414	5419
7165	432	66	1618	24		5543	5606	5609
7184	130	170	625	32		6527	6690	6697
7185	202	101	810	16		6333	6427	6434
7190	291	222	1205	19		5913	6128	6135
7199	171	283	667	18		6275	6454	6558
7246	338	102	1299	19		5907	6005	6009
7270	39	245	229	65		6878	7118	7123
7272	311	66	1185	32		6085	6144	6151
7275	133	235	696	24		6539	6773	6774
7276	481	36	1729	40		5532	5564	5568
7313	200	45	773	52		6525	6566	6570
7349	417	118	1520	8		5724	5830	5842
7369	162	32	644	39		6724	6755	6756
7426	48	273	359	36		6968	7240	7241
7428	209	10	782	33		6641	6648	6651
7434	353	163	1442	16		5982	6144	6145
7434	52	265	260	24		6961	7186	7226
7462	219	298	946	5		6362	6625	6660
7471	375	254	1566	15		5867	6116	6121
7473	349	233	1488	19		5970	6105	6203
7517	390	115	1448	24		6000	6052	6115
7527	363	249	1409	18		5971	6215	6220
7534	376	204	1460	25		5974	6136	6178
7537	462	12	1638	47		5894	5905	5906
7537	84	89	352	45		7143	7215	7232
7565	365	116	1355	16		6133	6244	6249
7588	182	288	772	27		6618	6905	6906
7593	111	110	460	32		7079	7155	7189
7603	326	275	1186	18		6149	6421	6424
7613	318	160	1239	22		6306	6463	6466
7651	451	157	1653	30		5892	6041	6049
7661	257	294	1100	8		6428	6721	6722
7682	211	290	824	17		6610	6898	6900
7708	194	144	748	26		6846	6987	6990
7719	435	69	1621	24		6088	6154	6157
7757	482	252	1797	25		5794	6020	6046
7757	272	189	1132	20		6571	6755	6760
7767	393	188	1542	20		6165	6337	6353
7782	169	279	803	25		6865	7140	7144
7783	345	230	1446	26		6299	6524	6529
7784	231	252	963	20		6679	6926	6931
7797	98	297	389	37		7134	7349	7431
7841	269	63	1017	18		6794	6850	6857
7856	265	277	1207	19		6606	6660	6883
7859	410	87	1509	13		6291	6370	6378
7880	383	60	1402	32		6437	6494	6497
7889	424	186	1698	12		6178	6361	6364
7920	275	258	1164	20		6657	6907	6915
7933	450	204	1647	17		6128	6331	6332
7934	147	218	764	46		7151	7348	7369
7936	351	243	1303	32		6413	6649	6656
7954	280	120	1092	11		6816	6929	6936
7978	378	282	1604	18		6332	6609	6614
7980	153	256	703	13		7144	7282	7400
7991	425	284	1623	15		6176	6453	6460
8022	490	160	1786	23		6131	6258	6291
8027	418	120	1605	5		6400	6517	6520
8032	102	144	451	51		7509	7646	7653
8090	259	143	1074	28		7001	7143	7144
8091	442	204	1776	28		6304	6507	6508
8133	174	181	815	33		7298	7472	7479
8164	394	181	1534	30		6562	6742	6743
8194	479	249	1908	5		6245	6386	6494
8201	476	78	1714	37		6434	6504	6512
8211	196	269	951	38		7215	7477	7484
8215	104	251	618	37		7582	7680	7833
8222	149	34	585	74		7617	7650	7651
8253	381	254	1485	6		6621	6872	6875
8278	248	270	931	19		7104	7373	7374
8313	354	214	1340	9		6809	7018	7023
8324	461	129	1733	14		6568	6689	6697
8325	334	208	1305	41		6896	7072	7104
8333	331	231	1255	32		6897	7123	7128
8364	494	79	1819	14		6544	6614	6623
8379	407	287	1681	32		6624	6880	6911
8391	139	214	590	38		7651	7864	7865
8395	145	253	776	20		7586	7832	7839
8408	403	214	1486	30		6741	6947	6955
8412	244	64	927	39		7455	7516	7519
8437	497	155	1822	25		6534	6613	6689
8445	437	156	1718	29		6721	6870	6877
8456	161	179	712	17		7665	7839	7844
8471	288	96	1065	44		7336	7427	7432
8492	449	51	1616	35		6841	6887	6892
8499	97	208	387	27		7928	8133	8136
8509	348	185	1377	28		7055	7168	7240
8527	251	100	960	47		7509	7601	7609
8545	391	239	1631	35		6898	7135	7137
8554	386	217	1560	22		6941	7157	7158
8562	305	201	1276	53		7271	7468	7472
8591	78	237	430	28		8065	8301	8302
8609	127	154	504	45		7987	8107	8141
8625	447	158	1631	25		6873	6991	7031
8650	232	134	989	24		7660	7769	7794
8683	445	160	1738	42		6929	7088	7089
8699	312	153	1224	39		7425	7574	7578
8705	496	222	1945	17		6736	6857	6958
8717	428	169	1649	38		7002	7073	7171
8731	478	226	1916	36		6806	7027	7032
8732	255	254	1089	26		7548	7795	7802
8738	464	298	1795	39		6804	7098	7102
8755	463	107	1711	54		7013	7118	7120
8772	228	249	855	25		7684	7867	7933
8803	258	297	1023	40		7563	7859	7860
8805	458	281	1904	21		6901	7175	7182
8826	436	264	1707	40		6995	7230	7259
8833	339	167	1295	50		7423	7588	7590
8834	493	250	1753	44		6848	7096	7098
8843	132	285	683	31		8063	8341	8348
8850	201	269	904	47		7836	8103	8105
8860	287	150	1069	37		7672	7790	7822
8888	377	217	1423	31		7312	7525	7529
8895	489	298	1958	35		6873	7163	7171
8922	483	184	1801	24		7027	7209	7211

Processes: 559
Avg WT = 3541,	Avg RT = 3622,	Avg TRT = 3690
Migration %:	 RTF = 28.4436%, 	 MaxW = 333.095%
Work Steal %: 194.633%
Forked Process %: 10.5546%
Killed Process %: 2.68336%
Before Expected Deadline%: 0%

Processors: 18 [ 3 RR, 5 SJF, 4 FCFS, 6 EDF ]
Processors Load
P1 = 8.59194%,	P2 = 9.69584%,	P3 = 8.66419%,	P4 = 8.52324%,	P5 = 7.92154%,	P6 = 7.1789%,	P7 = 7.26892%,	P8 = 6.44928%,	P9 = 1.97565%,	P10 = 2.06211%,	P11 = 1.88681%,	P12 = 1.71152%,	P13 = 3.88023%,	P14 = 4.90832%,	P15 = 4.24741%,	P16 = 4.98176%,	P17 = 4.31492%,	P18 = 5.73743%

Processors Utiliz
P1 = 93.9394%,	P2 = 94.9432%,	P3 = 88.9686%,	P4 = 88.5989%,	P5 = 81.3427%,	P6 = 77.4866%,	P7 = 72.8687%,	P8 = 68.7326%,	P9 = 21.0846%,	P10 = 21.1749%,	P11 = 19.3748%,	P12 = 19.0684%,	P13 = 41.8819%,	P14 = 51.6579%,	P15 = 45.2663%,	P16 = 51.1554%,	P17 = 46.964%,	P18 = 56.1819%
Avg utilization = 57.8162%
